identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
Other Amazon Retail Assets (Please only actively test explicitly stated scope),OTHER,"",false,true,,,,critical,,2020-08-13 18:10:45 UTC,2023-01-24 12:47:01 UTC
358861688,APPLE_STORE_APP_ID,"Amazon Shopping (FR)	https://apps.apple.com/fr/app/amazon-fr/id358861688
",true,true,,,,critical,,2025-01-07 14:38:45 UTC,2025-01-07 14:39:03 UTC
510855668,APPLE_STORE_APP_ID,"Amazon Music	https://apps.apple.com/us/app/amazon-music-songs-podcasts/id510855668
",true,true,,,,critical,,2025-01-07 14:31:10 UTC,2025-01-07 14:31:38 UTC
com.amazon.primenow.seller.android,GOOGLE_PLAY_APP_ID,"PN Seller	https://play.google.com/store/apps/details?id=com.amazon.primenow.seller.android
",true,true,,,,critical,,2025-01-07 14:46:52 UTC,2025-01-07 14:47:07 UTC
*.amazon.ae,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:04 UTC,2024-02-29 17:21:04 UTC
Other Amazon Retail Sites (Please only actively test explicitly stated scope),OTHER,"",false,true,,,,critical,,2020-04-21 16:55:16 UTC,2023-01-24 12:47:01 UTC
342576766,APPLE_STORE_APP_ID,"Amazon Shopping (CN)	https://apps.apple.com/cn/app/%E4%BA%9A%E9%A9%AC%E9%80%8A%E8%B4%AD%E7%89%A9/id342576766
",true,true,,,,critical,,2025-01-07 14:37:45 UTC,2025-01-07 14:38:01 UTC
*.amazon.sg,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
*.amazon.it,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
*.amazon.nl,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
Other Amazon Retail Mobile Apps (Please only actively test explicitly stated scope),OTHER,"",false,true,,,,critical,,2020-04-21 16:55:55 UTC,2023-01-24 12:47:01 UTC
amazon.speech.sim,GOOGLE_PLAY_APP_ID,"Amazon Alexa - Show Mode for L
https://play.google.com/store/apps/details?id=amazon.speech.sim
",true,true,,,,critical,,2025-01-07 14:24:06 UTC,2025-01-07 14:25:07 UTC
Amazon Subsidiaries (Please only actively test explicitly stated scope),OTHER,"",false,true,,,,critical,,2020-06-23 17:15:34 UTC,2023-01-24 12:47:01 UTC
*.amazon.pl,WILDCARD,,true,true,,,,critical,,2024-02-13 18:27:20 UTC,2024-02-13 18:27:20 UTC
1494755014,APPLE_STORE_APP_ID,"Amazon Shopper Panel	https://apps.apple.com/us/app/amazon-shopper-panel/id1494755014
",true,true,,,,critical,,2025-01-07 14:36:42 UTC,2025-01-07 14:37:00 UTC
GenAI Apps under *.amazon.*,AI_MODEL,This is a catchall for any GenAI applications found under \*.amazon.\*. Rufus is an example of this.,true,true,,,,critical,,2024-09-13 16:49:53 UTC,2024-09-13 16:49:53 UTC
*.amazon.fr,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
com.amazon.avod.thirdpartyclient,GOOGLE_PLAY_APP_ID,"Amazon Prime Video
https://play.google.com/store/apps/details?id=com.amazon.avod.thirdpartyclient",true,true,,,,critical,,2025-01-07 14:34:11 UTC,2025-01-07 14:34:11 UTC
*.amazon.com.mx,WILDCARD,,true,true,,,,critical,,2024-02-13 18:27:20 UTC,2024-02-13 18:27:20 UTC
1475021574,APPLE_STORE_APP_ID,"Amazon Music for Artists
https://apps.apple.com/us/app/amazon-music-for-artists/id1475021574",true,true,,,,critical,,2025-01-07 14:34:07 UTC,2025-01-07 14:34:07 UTC
com.amazon.sellerflexmobile,GOOGLE_PLAY_APP_ID,"Amazon Seller Flex App	https://play.google.com/store/apps/details?id=com.amazon.sellerflexmobile
",true,true,,,,critical,,2025-01-07 14:34:57 UTC,2025-01-07 14:35:17 UTC
*.amazon.com.tr,WILDCARD,,true,true,,,,critical,,2024-02-13 18:27:20 UTC,2024-02-13 18:27:20 UTC
1579372261,APPLE_STORE_APP_ID,"
Amazon Business (IN)
https://apps.apple.com/in/app/amazon-business-india-b2b/id1579372261",true,true,,,,critical,,2025-01-07 14:34:10 UTC,2025-01-07 14:34:10 UTC
6471528064,APPLE_STORE_APP_ID,"Amazon Kids + Parents Dashbaord
https://apps.apple.com/us/app/amazon-kids-parent-dashboard/id6471528064",true,true,,,,critical,,2025-01-07 14:34:09 UTC,2025-01-07 14:34:09 UTC
com.amazon.mp3,GOOGLE_PLAY_APP_ID,"Amazon Music
https://play.google.com/store/apps/details?id=com.amazon.mp3

Amazon Music (Watch) is also in scope

**wearOS**: follow the documentation [here](https://developer.android.com/training/wearables/get-started/creating#run-emulator) to create a wearOS virtual device. The “Android 14.0 (Wear OS 5)” image includes the Play Store and can be used to install and run the in-scope apps. The documentation [here](https://developer.android.com/training/wearables/get-started/connect-phone) explains how to pair a physical/virtual phone to the virtual wearOS device to complete setup.",true,true,,,,critical,,2025-01-07 14:29:54 UTC,2025-01-07 14:30:36 UTC
1276296103,APPLE_STORE_APP_ID,"Amazon Relay
https://apps.apple.com/us/app/itunes-store/1276296103
",true,true,,,,critical,,2025-01-07 14:34:08 UTC,2025-01-07 14:34:08 UTC
1592204907,APPLE_STORE_APP_ID,"Amazon Sidewalk Bridge Pro	https://apps.apple.com/us/app/amazon-sidewalk-bridge-pro/id1592204907
",true,true,,,,critical,,2025-01-07 14:43:07 UTC,2025-01-07 14:43:18 UTC
*.amazon.ca,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:04 UTC,2024-02-29 17:21:04 UTC
*.amazon.eg,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
1151746202,APPLE_STORE_APP_ID,https://apps.apple.com/us/app/transparency/id1151746202,true,true,,,,critical,,2025-05-07 17:57:38 UTC,2025-05-07 18:07:01 UTC
amazonpayinsurance.in,URL,,true,true,,,,critical,,2024-01-29 23:50:29 UTC,2024-04-24 17:41:42 UTC
6452192521,APPLE_STORE_APP_ID,"Amazon One	https://apps.apple.com/us/app/amazon-one/id6452192521
",true,true,,,,critical,,2025-01-07 14:32:14 UTC,2025-01-07 14:32:29 UTC
1478350915,APPLE_STORE_APP_ID,"Amazon Shopping (IN)
https://apps.apple.com/in/app/amazon-india-shop-pay-minitv/id1478350915",true,true,,,,critical,,2025-01-07 14:34:11 UTC,2025-01-07 14:34:11 UTC
com.amazon.amazonone.androidapp,GOOGLE_PLAY_APP_ID,"Amazon One
https://play.google.com/store/apps/details?id=com.amazon.amazonone.androidapp",true,true,,,,critical,,2025-01-09 16:36:52 UTC,2025-01-09 16:37:19 UTC
*.amazon.com.be,WILDCARD,,true,true,,,,critical,,2024-02-13 18:27:20 UTC,2024-02-13 18:27:20 UTC
primevideo.com/*,WILDCARD,"",true,true,,,,critical,,2024-11-21 19:49:49 UTC,2024-11-21 19:49:49 UTC
com.amazon.amazonvideo.livingroom,GOOGLE_PLAY_APP_ID,"Amazon Prime Video (TV) - Android TV https://play.google.com/store/apps/details?id=com.amazon.amazonvideo.livingroom

**Android TV**: follow the documentation [here](https://developer.android.com/training/tv/get-started/create#run-on-a-virtual-device) to create an Android TV virtual device. The “Android 14.0 (Google TV)” image includes the Play Store and can be used to install and run the in-scope apps.",true,true,,,,critical,,2025-01-07 14:34:08 UTC,2025-01-07 14:34:08 UTC
com.amazon.kisan.app,GOOGLE_PLAY_APP_ID,"Amazon Kisan
https://play.google.com/store/apps/details?id=com.amazon.kisan.app",true,true,,,,critical,,2025-01-09 16:37:57 UTC,2025-01-09 16:38:23 UTC
amazongames.com,URL,"",false,false,,,,critical,,2020-05-07 18:36:15 UTC,2023-01-24 12:46:53 UTC
374254473,APPLE_STORE_APP_ID,"Amazon Shopping (JP)	https://apps.apple.com/jp/app/amazon-%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%A2%E3%83%97%E3%83%AA/id374254473
",true,true,,,,critical,,2025-01-07 14:40:59 UTC,2025-01-07 14:41:42 UTC
*.aws.*,OTHER,,false,false,,,,critical,,2024-04-18 18:29:27 UTC,2024-04-18 18:29:27 UTC
com.amazon.ziggy.android,GOOGLE_PLAY_APP_ID,"Amazon Music for Artists
https://play.google.com/store/apps/details?id=com.amazon.ziggy.android",true,true,,,,critical,,2025-01-07 14:34:10 UTC,2025-01-07 14:34:10 UTC
348712880,APPLE_STORE_APP_ID,"Amazon Shopping (DE)	https://apps.apple.com/de/app/amazon/id348712880
",true,true,,,,critical,,2025-01-07 14:39:50 UTC,2025-01-07 14:40:22 UTC
com.localqueen,GOOGLE_PLAY_APP_ID,"GlowRoad: Resell & Earn Online
https://play.google.com/store/apps/details?id=com.localqueen",true,true,,,,critical,,2025-01-07 14:34:09 UTC,2025-01-07 14:34:09 UTC
com.amazon.minitv.android.app,GOOGLE_PLAY_APP_ID,"Amazon miniTV
https://play.google.com/store/apps/details?id=com.amazon.minitv.android.app",true,true,,,,critical,,2025-01-07 14:34:10 UTC,2025-01-07 14:34:10 UTC
*.amazon.cl,WILDCARD,,true,true,,,,critical,,2024-02-13 18:27:19 UTC,2024-02-13 18:27:19 UTC
"""Contact Us"" Functionality",OTHER,"",false,false,,,,critical,,2022-09-19 23:42:45 UTC,2023-01-24 12:47:02 UTC
6444868926,APPLE_STORE_APP_ID,"Amazon Vendor	https://apps.apple.com/us/app/amazon-vendor/id6444868926
",true,true,,,,critical,,2025-01-07 14:43:46 UTC,2025-01-07 14:44:03 UTC
learning.logistics.amazon.com,OTHER,"",false,false,high,high,high,critical,,2024-06-12 21:41:01 UTC,2024-06-12 21:41:01 UTC
com.amazon.shopperpanel.android.mobile.app,GOOGLE_PLAY_APP_ID,"Amazon Shopper Panel	https://play.google.com/store/apps/details?id=com.amazon.shopperpanel.android.mobile.app
",true,true,,,,critical,,2025-01-07 14:35:54 UTC,2025-01-07 14:36:09 UTC
www.amazon.*,URL,"All international retail marketplaces
* Brazil: www.amazon.com.br
* Canada: www.amazon.ca
* Mexico: www.amazon.com.mx
* United States: www.amazon.com
* China: www.amazon.cn
* India: www.amazon.in
* Japan: www.amazon.co.jp
* Singapore: www.amazon.sg
* Turkey: www.amazon.com.tr
* United Arab Emirates: www.amazon.ae
* France: www.amazon.fr
* Germany: www.amazon.de
* Italy: www.amazon.it
* Netherlands: www.amazon.nl
* Spain: www.amazon.es
* Sweden: www.amazon.se
* United Kingdom: www.amazon.co.uk
* Australia: www.amazon.com.au",true,true,,high,,critical,,2020-06-30 18:53:39 UTC,2023-01-24 12:46:37 UTC
com.amazon.mShop.android.business.shopping,GOOGLE_PLAY_APP_ID,"Amazon Business
https://play.google.com/store/apps/details?id=com.amazon.mShop.android.business.shopping
",true,true,,,,critical,,2025-01-07 14:26:08 UTC,2025-01-07 14:27:30 UTC
com.amazon.sft.rangoli.seller.app,GOOGLE_PLAY_APP_ID,"SmartBiz by Amazon Web Builder
https://play.google.com/store/apps/details?id=com.amazon.sft.rangoli.seller.app",true,true,,,,critical,,2025-01-07 14:34:09 UTC,2025-01-07 14:34:09 UTC
1057338687,APPLE_STORE_APP_ID,"PN Seller	https://apps.apple.com/us/app/pn-seller/id1057338687
",true,true,,,,critical,,2025-01-07 14:47:43 UTC,2025-01-07 14:47:57 UTC
*.amazon.co.za,WILDCARD,,true,true,,,,critical,,2024-02-13 18:27:19 UTC,2024-02-13 18:27:19 UTC
com.amazon.helix.prod,GOOGLE_PLAY_APP_ID,"Amazon Hub Counter
https://play.google.com/store/apps/details?id=com.amazon.helix.prod",true,true,,,,critical,,2025-01-07 14:34:09 UTC,2025-01-07 14:34:09 UTC
https://www.amazonpay.in/*,OTHER,,true,true,,,,critical,,2022-10-04 05:40:47 UTC,2024-04-17 21:27:56 UTC
com.amazon.music.tv,GOOGLE_PLAY_APP_ID,"Amazon Music TV
https://play.google.com/store/apps/details?id=com.amazon.music.tv

**Android TV**: follow the documentation [here](https://developer.android.com/training/tv/get-started/create#run-on-a-virtual-device) to create an Android TV virtual device. The “Android 14.0 (Google TV)” image includes the Play Store and can be used to install and run the in-scope apps.",true,true,,,,critical,,2025-01-07 14:34:10 UTC,2025-01-07 14:34:10 UTC
com.amazon.technician.android,GOOGLE_PLAY_APP_ID,"Selling Services on Amazon	https://play.google.com/store/apps/details?id=com.amazon.technician.android
",true,true,,,,critical,,2025-01-07 14:46:04 UTC,2025-01-07 14:46:17 UTC
Anything which redirects to AWS,OTHER,,false,false,,,,critical,,2024-04-18 18:30:20 UTC,2024-04-18 18:30:20 UTC
com.amazon.astro,GOOGLE_PLAY_APP_ID,"Amazon Astro
https://play.google.com/store/apps/details?id=com.amazon.astro",true,true,,,,critical,,2025-01-09 16:34:32 UTC,2025-01-09 16:35:10 UTC
com.amazon.swa.mobileapp,GOOGLE_PLAY_APP_ID,Amazon Shipping --> https://play.google.com/store/apps/details?id=com.amazon.swa.mobileapp,true,true,,,,critical,,2025-05-07 17:57:38 UTC,2025-05-07 17:59:22 UTC
6560104638,APPLE_STORE_APP_ID,"Amazon Fire TV Recast|Blaster	--> https://apps.apple.com/us/app/amazon-fire-tv-recast-blaster/id6560104638
",true,true,,,,critical,,2025-05-07 17:57:38 UTC,2025-05-07 18:10:34 UTC
com.amazon.ihm.candycane,GOOGLE_PLAY_APP_ID,Store Ops by Amazon	-->	https://play.google.com/store/apps/details?id=com.amazon.ihm.candycane,true,true,,,,critical,,2025-05-07 17:57:38 UTC,2025-05-07 18:09:06 UTC
1454725763,APPLE_STORE_APP_ID,"Amazon Flex
https://apps.apple.com/us/app/itunes-store/1454725763
",true,true,,,,critical,,2025-01-07 14:34:07 UTC,2025-01-07 14:34:07 UTC
*.amazon.com,WILDCARD,,true,true,,,,critical,,2024-04-16 16:49:15 UTC,2024-04-16 16:49:15 UTC
AWS and AWS customer assets are strictly out of scope,OTHER,,false,false,,,,critical,,2024-02-23 00:21:44 UTC,2024-02-23 00:21:44 UTC
com.amazon.vendormobile.android,GOOGLE_PLAY_APP_ID,"Amazon Vendor	https://play.google.com/store/apps/details?id=com.amazon.vendormobile.android
",true,true,,,,critical,,2025-01-07 14:44:36 UTC,2025-01-07 14:44:47 UTC
com.amazon.tahoe.grownups,GOOGLE_PLAY_APP_ID,"Amazon Kids + Parent Dashboard
https://play.google.com/store/apps/details?id=com.amazon.tahoe.grownups",true,true,,,,critical,,2025-01-07 14:34:09 UTC,2025-01-07 14:34:09 UTC
com.amazon.mShop.android.shopping,GOOGLE_PLAY_APP_ID,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping,true,true,high,high,high,critical,,2020-06-30 18:56:41 UTC,2025-01-07 01:49:57 UTC
in.amazon.mShop.android.shopping,GOOGLE_PLAY_APP_ID,"Amazon Shopping (IN)
https://play.google.com/store/apps/details?id=in.amazon.mShop.android.shopping&hl=en_US",true,true,,,,critical,,2025-01-07 14:34:11 UTC,2025-01-07 14:34:11 UTC
com.amazon.relay,GOOGLE_PLAY_APP_ID,"Amazon Relay
https://play.google.com/store/apps/details?id=com.amazon.relay",true,true,,,,critical,,2025-01-07 14:34:11 UTC,2025-01-07 14:34:11 UTC
com.amazon.firetv.recast.blaster.aosp,GOOGLE_PLAY_APP_ID,Amazon Fire TV Recast|Blaster	-->	https://play.google.com/store/apps/details?id=com.amazon.firetv.recast.blaster.aosp,true,true,,,,critical,,2025-05-07 17:57:38 UTC,2025-05-07 18:11:25 UTC
Anything considered a non-prod asset,OTHER,,false,false,,,,critical,,2024-04-18 18:29:27 UTC,2024-04-18 18:29:27 UTC
com.amazon.aba.application,GOOGLE_PLAY_APP_ID,https://play.google.com/store/apps/details?id=com.amazon.aba.application,true,true,,,,critical,,2025-05-07 17:57:38 UTC,2025-05-07 18:07:39 UTC
*.amazon.sa,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
1659883691,APPLE_STORE_APP_ID,"Vendor Central (IN)	https://apps.apple.com/in/app/vendor-central-india/id1659883691
",true,true,,,,critical,,2025-01-07 14:49:33 UTC,2025-01-07 14:49:50 UTC
Amazon Web Services (AWS),OTHER,"Currently, anything related to AWS should be considered out of scope and should be reported directly to AWS: https://aws.amazon.com/security/vulnerability-reporting/",false,false,,,,critical,,2020-04-21 15:24:39 UTC,2023-01-24 12:47:01 UTC
com.amazon.imdb.tv.mobile.app,GOOGLE_PLAY_APP_ID,"Amazon Freevee
https://play.google.com/store/apps/details?id=com.amazon.imdb.tv.mobile.app",true,true,,,,critical,,2025-01-07 14:34:09 UTC,2025-01-07 14:34:09 UTC
com.amazon.vendormobile.india.android,GOOGLE_PLAY_APP_ID,"Vendor Central (IN)	https://play.google.com/store/apps/details?id=com.amazon.vendormobile.india.android
",true,true,,,,critical,,2025-01-07 14:48:38 UTC,2025-01-07 14:49:00 UTC
*.dev,OTHER,,false,false,,,,critical,,2024-04-18 18:29:27 UTC,2024-04-18 18:29:27 UTC
988788863,APPLE_STORE_APP_ID,"Selling Services on Amazon	https://apps.apple.com/us/app/selling-services-on-amazon/id988788863
",true,true,,,,critical,,2025-01-07 14:45:17 UTC,2025-01-07 14:45:30 UTC
545519333,APPLE_STORE_APP_ID,"Amazon Prime Video	https://apps.apple.com/us/app/amazon-prime-video/id545519333
",true,true,,,,critical,,2025-01-07 14:32:51 UTC,2025-01-07 14:33:06 UTC
794141485,APPLE_STORE_APP_ID,"Amazon Seller
https://apps.apple.com/us/app/itunes-store/794141485",true,true,,,,critical,,2025-01-07 14:34:11 UTC,2025-01-07 14:34:11 UTC
335187483,APPLE_STORE_APP_ID,"Amazon Shopping (UK)	https://apps.apple.com/gb/app/amazon/id335187483
",true,true,,,,critical,,2025-01-07 14:42:21 UTC,2025-01-07 14:42:38 UTC
6479334468,APPLE_STORE_APP_ID,Amazon Shipping	-->	https://apps.apple.com/us/app/amazon-shipping/id6479334468,true,true,,,,critical,,2025-05-07 17:57:38 UTC,2025-05-07 18:08:33 UTC
*.*a2z*.*,OTHER,,false,false,,,,critical,,2024-04-18 18:29:27 UTC,2025-06-12 11:33:43 UTC
*.amazon.es,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
*.amazon.cn,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:04 UTC,2024-02-29 17:21:04 UTC
1532153219,APPLE_STORE_APP_ID,"Amazon Freevee
https://apps.apple.com/us/app/amazon-freevee-movies-live-tv/id1532153219",true,true,,,,critical,,2025-01-07 14:34:09 UTC,2025-01-07 14:34:09 UTC
*.amazon.com.ng,WILDCARD,,true,true,,,,critical,,2024-02-13 18:27:20 UTC,2024-02-13 18:27:20 UTC
*.amazon.com.au,WILDCARD,,true,true,,,,critical,,2024-02-13 18:27:20 UTC,2024-02-13 18:27:20 UTC
*.amazon.se,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
1552455423,APPLE_STORE_APP_ID,"Amazon Astro
https://apps.apple.com/us/app/amazon-astro/id1552455423
",true,true,,,,critical,,2025-01-07 14:24:24 UTC,2025-01-07 14:25:36 UTC
297606951,APPLE_STORE_APP_ID,https://apps.apple.com/us/app/amazon-shopping/id297606951,true,true,high,high,high,critical,,2020-06-30 18:57:46 UTC,2025-01-07 01:49:13 UTC
*.amazon.co.uk,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
